id,ordernumber,customerid,customername,customeremail,product,category,quantity,price,total,status,paymentstatus,paymentmethod,country,createdat
"1","ORD-PJ8ZF0I8","197","Caroline Veum","Francesca.Bailey99@gmail.com","iPad Pro","Tablet","1","1109","1109","Delivered","Paid","PayPal","Niue","2026-02-04T15:27:58.864Z"
"2","ORD-AG1XAHF4","177","Amparo Kunde-Adams","Franz66@hotmail.com","iPhone 15 Pro","Phone","4","1094","4376","Delivered","Paid","PayPal","Anguilla","2026-05-14T23:42:34.089Z"
"3","ORD-1BG6MUEA","188","Sonja Leffler","Eliezer.Swift70@gmail.com","iPad Pro","Tablet","2","1255","2510","Delivered","Paid","PayPal","Palau","2026-06-29T23:42:40.597Z"
"4","ORD-5G8A92KA","29","Kathy Cartwright","Jayme_Walker34@yahoo.com","AirPods Pro","Audio","2","204","408","Cancelled","Paid","Cash","Uruguay","2026-02-20T16:38:54.550Z"
"5","ORD-NHTXO1PM","76","Lawrence Kutch","Beatrice66@gmail.com","AirPods Pro","Audio","4","208","832","Processing","Paid","PayPal","Spain","2026-01-20T11:22:09.517Z"
"6","ORD-LA7H48BI","49","Kenyon Hartmann","Lilly56@hotmail.com","Apple Watch Ultra","Watch","3","687","2061","Processing","Paid","PayPal","Oman","2026-02-19T02:03:48.609Z"
"7","ORD-M9X2PSW0","134","Alberta Swaniawski","Seth79@hotmail.com","Mechanical Keyboard","Accessories","2","219","438","Delivered","Paid","Credit Card","Burundi","2026-03-28T12:58:17.277Z"
"8","ORD-IRPRY4OD","70","Mercedes Zieme","Austen_Mante@hotmail.com","iPhone 15 Pro","Phone","1","1024","1024","Processing","Paid","Cash","Grenada","2026-05-17T10:38:46.367Z"
"9","ORD-W11MLKRR","198","Caroline Langworth","Destany_Casper5@gmail.com","iPad Pro","Tablet","1","1190","1190","Delivered","Paid","Cash","Italy","2026-04-07T10:38:02.471Z"
"10","ORD-V02NMWHX","144","Jan Grimes","Joey.Reynolds@yahoo.com","MacBook Pro 14","Laptop","3","1945","5835","Delivered","Paid","PayPal","Turkey","2026-04-29T11:31:12.292Z"
"11","ORD-LMRD14DG","147","Leigh Stamm","Charley_Romaguera@hotmail.com","Samsung Monitor","Monitor","2","463","926","Processing","Paid","PayPal","Falkland Islands (Malvinas)","2026-05-05T09:47:40.098Z"
"12","ORD-JJYXKZ35","28","Ted Green","Kianna8@hotmail.com","Samsung Monitor","Monitor","4","506","2024","Pending","Paid","Cash","Monaco","2026-04-17T19:57:37.360Z"
"13","ORD-80SKPB5B","39","Joana Heller","German7@yahoo.com","AirPods Pro","Audio","4","273","1092","Processing","Paid","Credit Card","Hungary","2026-05-31T07:20:22.824Z"
"14","ORD-IBSB8LJA","99","Vernon Kozey-Fahey","David19@gmail.com","Mechanical Keyboard","Accessories","4","164","656","Processing","Paid","Cash","Sao Tome and Principe","2026-03-11T22:48:21.537Z"
"15","ORD-PXV9WCCZ","198","Caroline Langworth","Destany_Casper5@gmail.com","iPhone 15 Pro","Phone","1","1174","1174","Cancelled","Paid","Cash","Italy","2026-06-21T16:54:48.557Z"
"16","ORD-B13DN89C","42","Myron Thiel-Heaney","Sofia_Hirthe82@yahoo.com","Samsung Monitor","Monitor","4","743","2972","Delivered","Paid","PayPal","Iceland","2026-06-25T22:07:51.021Z"
